ProfileID,Topic,Text
P0022,Speed,30-50 (mm/s)
P0022,Overhang,angle 60 (˚)
P0023,Cooling,0- 100%
P0023,Speed,30-70 mm/s
P0024,Cooling,0 - 60%
P0024,Speed,< 200 mm/s
P0024,Storage humidity,"< 20% RH (Sealed, with desiccant)"
P0025,Adhesion / release,Glue
P0025,Cooling,0 -60%
P0025,Speed,< 300 mm/s
P0025,Storage humidity,"< 20% RH (Sealed, with desiccant)"
P0026,Adhesion / release,Glue
P0026,Cooling,0 - 60%
P0026,Speed,< 220 mm/s
P0026,Storage humidity,< 20% RH (Sealed with desiccant)
P0027,Cooling,0 - 60%
P0027,Speed,< 200 mm/s
P0027,Storage humidity,"Container's Humidity < 20% RH ( Sealed, with desiccant )"
P0030,Adhesion / release,"Glue, Magigoo"
P0030,Cooling,OFF-20%
P0030,Speed,30-50 (mm/s)
P0030,Overhang,angle 70 (˚)
P0032,Adhesion / release,Glue
P0032,Cooling,0 - 80%
P0032,Speed,< 300 mm/s
P0032,Storage humidity,"< 20% RH (Sealed, with desiccant)"
P0033,Adhesion / release,Glue
P0033,Cooling,0 - 80%
P0033,Speed,< 180 mm/s
P0033,Storage humidity,"< 20% RH (Sealed, with desiccant)"
P0035,Cooling,100%
P0035,Speed,30-60 mm/s
P0037,Speed,"30-100mm/s, Filling Rate 100%, Filling Angle ±45°"
P0038,Adhesion / release,Glue
P0038,Cooling,0 - 80%
P0038,Speed,< 250 mm/s
P0038,Storage humidity,"< 20% RH (Sealed, with desiccant)"
P0038,Bridging,Length ~ 40 mm
P0038,Overhang,Angle ~ 70°
P0039,Adhesion / release,Glue
P0039,Cooling,0 - 80%
P0039,Speed,< 150 mm/s
P0039,Storage humidity,"< 20% RH (Sealed, with desiccant)"
P0039,Overhang,Angle ~ 70 °
P0040,Cooling,Turn on
P0040,Speed,< 250 mm/s
P0040,Storage humidity,"< 20% RH (Sealed, with desiccant)"
P0040,Bridging,Length ~ 40 mm
P0040,Overhang,Angle ~ 70 °
P0041,Cooling,0-20%
P0041,Speed,** 30 - 70 mm/s
P0043,Adhesion / release,PVP Glue
P0043,Cooling,0 - 60%
P0043,Speed,<300 mm/s
P0043,Storage humidity,< 20% RH (Sealed with desiccant)
P0043,Bridging,Length ~ 40 mm
P0043,Overhang,Angle ~ 70°
P0044,Adhesion / release,Glue
P0044,Cooling,0 -60%
P0044,Speed,< 300 mm/s
P0044,Storage humidity,< 20% RH (Sealed with desiccant)
P0046,Cooling,0-20%
P0049,Adhesion / release,"PVA or PVP glue, Magigoo"
P0049,Cooling,ON
P0049,Speed,20-40 (mm/s)
P0049,Overhang,angle 35 (˚)
P0050,Cooling,0- 100%
P0050,Speed,20-50 mm/s
P0051,Adhesion / release,Glue
P0051,Cooling,Turn on
P0051,Speed,< 250 mm/s
P0051,Storage humidity,"< 20% RH (Sealed, with desiccant)"
P0051,Bridging,Length 20 mm
P0051,Overhang,Angle ~ 70 °
P0052,Adhesion / release,Glue
P0052,Cooling,Turn on
P0052,Speed,< 200 mm/s
P0052,Storage humidity,< 20% RH (Sealed with desiccant)
P0053,Cooling,Turn on
P0053,Speed,< 200 mm/s
P0053,Storage humidity,"<20% RH (Sealed, with desiccant)"
P0054,Cooling,Turn on
P0054,Speed,<200 mm/s
P0054,Storage humidity,"< 20% RH (Sealed, with desiccant)"
P0054,Bridging,Length 10 mm
P0054,Overhang,Angle ~ 40 °
P0055,Adhesion / release,PP adhesive
P0055,Speed,20-50 mm/s
P0055,Storage humidity,Keep dry; sealed15-25°C; RH not specified
P0056,Adhesion / release,"PVA or PVP glue, Magigoo"
P0056,Cooling,ON
P0056,Speed,30-60 (mm/s)
P0056,Overhang,angle 35 (˚)
P0057,Cooling,10~50 %
P0057,Speed,25~110 mm/s
P0059,Adhesion / release,PP adhesive
P0059,Speed,20-50 mm/s
P0059,Storage humidity,Keep dry; sealed15-25°C; RH not specified
P0060,Adhesion / release,Glue
P0060,Cooling,OFF
P0060,Speed,30-60 (mm/s)
P0060,Overhang,angle 55 (˚)
P0062,Cooling,0 - 10%
P0062,Speed,** 30-70 mm/s
P0063,Adhesion / release,Glue
P0063,Cooling,0 - 40%
P0063,Speed,< 100 mm/s
P0063,Storage humidity,< 20% RH (Sealed with desiccant)
P0064,Cooling,0 - 10%
P0064,Speed,** 30-70 mm/s
P0065,Cooling,0 - 60%
P0065,Speed,< 100 mm/s
P0065,Storage humidity,"Container's Humidity < 20% RH ( Sealed, with desiccant )"
P0066,Adhesion / release,Glue
P0066,Cooling,0 - 60%
P0066,Speed,< 130 mm/s
P0066,Storage humidity,< 20% RH (Sealed with desiccant)
P0066,Bridging,Length ~ 40 mm
P0066,Overhang,Angle ~ 70°
P0069,Adhesion / release,PVP Glue
P0069,Cooling,OFF
P0069,Speed,30-60 (mm/s)
P0069,Overhang,angle 60 (˚)
P0070,Cooling,0-10%
P0072,Adhesion / release,Glue
P0072,Cooling,OFF
P0072,Speed,30-60 (mm/s)
P0072,Overhang,angle 55 (˚)
P0074,Cooling,OFF Recommended
P0075,Adhesion / release,Glue
P0075,Cooling,OFF
P0075,Speed,30-60 (mm/s)
P0075,Overhang,angle 55 (˚)
P0078,Cooling,OFF Recommended
P0081,Adhesion / release,Glue
P0081,Cooling,OFF
P0081,Speed,30-60 (mm/s)
P0081,Overhang,angle 50 (˚)
P0083,Cooling,OFF Recommended
P0084,Cooling,OFF Recommended
P0085,Cooling,0-50%
P0085,Storage humidity,Dry box required; RH not published
P0085,Detail / tolerance,Manufacturer promotes high detail; no part-dimensional tolerance specified
P0086,Adhesion / release,Glue
P0086,Cooling,0 - 60%
P0086,Speed,< 100 mm/s
P0086,Storage humidity,<20% RH (Sealed with desiccant)
P0087,Cooling,0-20%
P0087,Speed,40-150 mm/s
P0087,Storage humidity,≤20% RH; sealed with desiccant; room temperature to40°C
P0087,Detail / tolerance,Recommended layer0.12-0.30 mm; no finished-part dimensional tolerance published
P0088,Adhesion / release,Apply liquid glue or PVP solid glue stick if the first layer
P0088,Cooling,0 - 40%
P0089,Adhesion / release,Glue Stick
P0089,Cooling,Turn on
P0089,Speed,< 100 mm/s
P0089,Storage humidity,"< 20% RH (Sealed, with desiccant)"
P0090,Adhesion / release,Apply liquid glue or PVP solid glue stick if the first layer
P0090,Cooling,0 - 40%
P0092,Cooling,"0 - 10% is ca. 18-25°C (64.4 -77.0°F). Keep out of moisture,"
P0092,Speed,** 30-70 mm/s
P0093,Adhesion / release,Glue
P0093,Cooling,0 -40%
P0093,Speed,< 100 mm/s
P0093,Storage humidity,<20% RH (Sealed with desiccant)
P0094,Adhesion / release,Apply liquid glue or PVP solid glue stick if the first layer
P0094,Cooling,0% - 40%
P0095,Cooling,OFF
P0096,Adhesion / release,Glue
P0096,Cooling,Turn on
P0096,Speed,< 200 mm/s
P0096,Storage humidity,"< 20% RH (Sealed, with desiccant)"
P0096,Overhang,Angle 55 °
P0097,Cooling,0 - 30%
P0098,Adhesion / release,Glue
P0098,Cooling,Turn on
P0098,Speed,<100 mm/s
P0098,Storage humidity,"< 20% RH (Sealed, with desiccant)"
P0098,Bridging,Length 30 mm
P0098,Overhang,Angle 55°
P0099,Adhesion / release,Glue
P0099,Cooling,Turn on
P0099,Speed,< 100 mm/s
P0099,Storage humidity,"< 20% RH (Sealed, with desiccant)"
P0099,Overhang,Angle 55 °
P0100,Adhesion / release,PVP Glue
P0100,Cooling,0 - 60%
P0100,Speed,< 100 mm/s
P0100,Storage humidity,"< 20% RH (Sealed, with desiccant)"
P0102,Cooling,0 - 20%
P0102,Speed,** 40-100 mm/s
P0108,Speed,10-40 mm/s
P0111,Cooling,"YES (up to 100%) is ca. 18-25°C (64.4 -77.0°F). Keep out of moisture,"
P0111,Speed,** 40-110 mm/s
P0113,Adhesion / release,Magigoo or 3Dlac necessary to prevent bed damage
P0113,Cooling,0-15%; higher for bridges/overhangs/supports only
P0113,Speed,20-40 mm/s
P0113,Detail / tolerance,Filament ±0.10 mm tolerance is not a printed-part tolerance
P0114,Cooling,50-85% temperature. Recommended storage temperature
P0114,Speed,** 30-80 mm/s
P0117,Cooling,100% recommended; specimen tests used cooling off
P0117,Speed,Up to200 mm/s
