Name,Property,Min,Max
medium carbon steel,tensileStrength,410,1200
medium carbon steel,compressiveStrength,305,1760
medium carbon steel,elongation,4,39
medium carbon steel,fractureToughness,12,92
medium carbon steel,thermalExpansion,10,14
structural steel,density,7800,7900
structural steel,tensileModulus,200,221
structural steel,yieldStrength,205,275
structural steel,tensileStrength,350,510
structural steel,compressiveStrength,205,275
structural steel,elongation,23,24
structural steel,fractureToughness,26.4,38.1
structural steel,thermalExpansion,11,13
stainless steel,density,7810,8010
stainless steel,tensileModulus,189,197
stainless steel,yieldStrength,310,515
stainless steel,tensileStrength,585,860
stainless steel,compressiveStrength,310,515
stainless steel,elongation,30,50
stainless steel,fractureToughness,77,203
stainless steel,thermalExpansion,16,20
Wrought iron,density,7400,7800
Wrought iron,tensileModulus,185,195
Wrought iron,yieldStrength,210,210
Wrought iron,tensileStrength,302,432
Wrought iron,compressiveStrength,270,280
Wrought iron,elongation,34,36
Wrought iron,fractureToughness,60,80
Wrought iron,thermalExpansion,12,12.5
"Aluminum alloy, wrought (6061, T4)",density,2700,2730
"Aluminum alloy, wrought (6061, T4)",tensileModulus,68,71.5
"Aluminum alloy, wrought (6061, T4)",yieldStrength,103,124
"Aluminum alloy, wrought (6061, T4)",tensileStrength,172,241
"Aluminum alloy, wrought (6061, T4)",compressiveStrength,97,172
"Aluminum alloy, wrought (6061, T4)",elongation,14,16.3
"Aluminum alloy, wrought (6061, T4)",fractureToughness,34,35
"Aluminum alloy, wrought (6061, T4)",thermalExpansion,23,24.6
"Aluminum, pure (1200, H4)",density,2680,2740
"Aluminum, pure (1200, H4)",tensileModulus,68,72
"Aluminum, pure (1200, H4)",yieldStrength,109,121
"Aluminum, pure (1200, H4)",tensileStrength,119,131
"Aluminum, pure (1200, H4)",compressiveStrength,109,121
"Aluminum, pure (1200, H4)",elongation,7.4,8.6
"Aluminum, pure (1200, H4)",fractureToughness,32,35
"Aluminum, pure (1200, H4)",thermalExpansion,22.8,24
Brass,density,7800,8800
Brass,tensileModulus,90,120
Brass,yieldStrength,70,500
Brass,tensileStrength,150,850
Brass,compressiveStrength,70,500
Brass,elongation,5,55
Brass,fractureToughness,30,86
Brass,thermalExpansion,16.5,20.7
Bronze,density,8500,9000
Bronze,tensileModulus,70,120
Bronze,yieldStrength,65,700
Bronze,tensileStrength,140,800
Bronze,compressiveStrength,65,700
Bronze,elongation,2,60
Bronze,fractureToughness,24,90
Bronze,thermalExpansion,16.5,19
Copper,density,8930,8940
Copper,tensileModulus,112,148
Copper,yieldStrength,30,500
Copper,tensileStrength,100,550
Copper,compressiveStrength,30,500
Copper,elongation,3,50
Copper,fractureToughness,30,90
Copper,thermalExpansion,16.9,18
Lead alloys,density,10000,11400
Lead alloys,tensileModulus,12.5,15
Lead alloys,yieldStrength,8,14
Lead alloys,tensileStrength,12,20
Lead alloys,compressiveStrength,8,14
Lead alloys,elongation,30,60
Lead alloys,fractureToughness,5,15
Lead alloys,thermalExpansion,18,32
Lead coated copper,density,8930,8940
Lead coated copper,tensileModulus,112,148
Lead coated copper,yieldStrength,50,400
Lead coated copper,tensileStrength,100,450
Lead coated copper,compressiveStrength,30,400
Lead coated copper,elongation,3,50
Lead coated copper,fractureToughness,30,90
Lead coated copper,thermalExpansion,16.9,18
Magnesium alloys,density,1740,1950
Magnesium alloys,tensileModulus,42,47
Magnesium alloys,yieldStrength,70,400
Magnesium alloys,tensileStrength,185,475
Magnesium alloys,compressiveStrength,70,400
Magnesium alloys,elongation,3.5,18
Magnesium alloys,fractureToughness,12,18
Magnesium alloys,thermalExpansion,24.6,28
Nickel alloys,density,8830,8950
Nickel alloys,tensileModulus,190,220
Nickel alloys,yieldStrength,70,1100
Nickel alloys,tensileStrength,345,1200
Nickel alloys,compressiveStrength,70,1100
Nickel alloys,elongation,2,60
Nickel alloys,fractureToughness,80,110
Nickel alloys,thermalExpansion,12,13.5
Tin,density,7260,7270
Tin,tensileModulus,41,45
Tin,yieldStrength,7,15
Tin,tensileStrength,11,18
Tin,compressiveStrength,7,15
Tin,elongation,55,75
Tin,fractureToughness,15,30
Tin,thermalExpansion,22.5,23.5
Titanium alloys,density,4400,4800
Titanium alloys,tensileModulus,90,120
Titanium alloys,yieldStrength,250,1250
