MeasurementID,SourceID,Property,Field,Recorded,Fresh,Locator,FreshLocator
V005852,R-COLORFABB-TDS-E-ColorFabb-PLA-HP-7a500b,Charpy strength,Notch,Unnotched,Notched,"p. 1: Charpy Impact Charpy Notch, ISO 179","p. 1: Charpy Impact Charpy Notch, ISO 179"
V005864,R-COLORFABB-TDS-E-ColorFabb-nGen-FLEX,Charpy strength,Notch,Not published,Notched,"p. 1: Impact Strength Charpy Notch, ISO 179","p. 1: Impact Strength Charpy Notch, ISO 179"
V005878,R-COLORFABB-TDS-E-ColorFabb-PETG-Economy,Charpy strength,Notch,Not published,Notched,"p. 1: Impact Strength Charpy Notch, ISO 179","p. 1: Impact Strength Charpy Notch, ISO 179"
V005886,R-COLORFABB-TDS-E-ColorFabb-nGen,Charpy strength,Notch,Not published,Notched,"p. 1: Impact Strength Charpy Notch, ISO 179","p. 1: Impact Strength Charpy Notch, ISO 179"
V005896,R-COLORFABB-TDS-E-ColorFabb-Color-on-Demand,Charpy strength,Notch,Not published,Notched,"p. 1: Impact Strength Charpy Notch, ISO 179","p. 1: Impact Strength Charpy Notch, ISO 179"
V005897,R-COLORFABB-TDS-E-ColorFabb-Color-on-Demand,Charpy strength,Notch,Unnotched,Notched,"p. 1: Charpy Impact Charpy Notch, ISO 179","p. 1: Charpy Impact Charpy Notch, ISO 179"
V005909,R-COLORFABB-TDS-E-colorFabb-PLA-Regrind,Charpy strength,Notch,Not published,Notched,"p. 1: Impact Strength Charpy Notch, ISO 179","p. 1: Impact Strength Charpy Notch, ISO 179"
V005910,R-COLORFABB-TDS-E-colorFabb-PLA-Regrind,Charpy strength,Notch,Unnotched,Notched,"p. 1: Charpy Impact Charpy Notch, ISO 179","p. 1: Charpy Impact Charpy Notch, ISO 179"
V005932,R-COLORFABB-TDS-E-ColorFabb-ASA,Charpy strength,Notch,Not published,Notched,"p. 1: Impact Strength Charpy Notch, ISO 179","p. 1: Impact Strength Charpy Notch, ISO 179"
V005935,R-COLORFABB-TDS-E-ColorFabb-ASA,Izod impact strength,Notch,Unnotched,Notched,"p. 1: Izod Impact Strength Izod Notch, ISO 180","p. 1: Izod Impact Strength Izod Notch, ISO 180"
V005944,R-COLORFABB-TDS-colorFabb-TPU95A,Charpy strength,Notch,Not published,Notched,"p. 1: Impact Strength Charpy Notch, ISO 179","p. 1: Impact Strength Charpy Notch, ISO 179"
V005972,R-COLORFABB-TDS-E-ColorFabb-LW-PLA-HT,Charpy strength,Notch,Not published,Notched,"p. 1: Impact Strength Charpy Notch, ISO 179","p. 1: Impact Strength Charpy Notch, ISO 179"
V005980,R-COLORFABB-TDS-colorFabb-PLA-High-Speed-PRO,Charpy strength,Notch,Not published,Notched,"p. 1: Impact Strength Charpy Notch, ISO 179","p. 1: Impact Strength Charpy Notch, ISO 179"
V005992,R-COLORFABB-TDS-E-ColorFabb-Vibers-PLA,Charpy strength,Notch,Not published,Notched,"p. 1: Impact Strength Charpy Notch, ISO 179","p. 1: Impact Strength Charpy Notch, ISO 179"
V006016,R-FILLAMENTUM-TDS-Fishy-filament-Porthcurno-EN-06042023,Impact strength,Notch,Unnotched,Not published,p. 1: Charpy impact strength,p. 1: Charpy impact strength
V006026,R-FILLAMENTUM-Fillamentum-ASA-CF10-Carbon,Charpy strength,Notch,Unnotched,Not published,p. 1: Charpy impact strength,p. 1: Charpy impact strength
V006035,R-FILLAMENTUM-Technical-Data-Sheet-PP-2320,Charpy strength,Notch,Unnotched,Not published,p. 1: Charpy impact strength,p. 1: Charpy impact strength
V006065,R-FILLAMENTUM-TDS-Fishy-filament-OrCA-EN-20072023,Charpy strength,Notch,Unnotched,Not published,p. 1: Charpy impact strength,p. 1: Charpy impact strength
V006086,R-FILLAMENTUM-Technical-Data-Sheet-ABS-Extrafill-03012019-1,Charpy strength,Notch,Unnotched,Not published,p. 1: Charpy impact strength,p. 1: Charpy impact strength
V006121,R-FILLAMENTUM-Technical-Data-Sheet-PC-ABS,Charpy strength,Notch,Unnotched,Not published,p. 1: Charpy impact resistance,p. 1: Charpy impact resistance
V006169,R-EXTRUDR-durapro-pc-pbt-cf-TDS-it,Izod impact strength,Notch,Unnotched,Notched,p. 1: Izod-Kerbschlagzähigkeit ISO 180/A kJ/m²,p. 1: Izod-Kerbschlagzähigkeit ISO 180/A kJ/m²
V006210,R-EXTRUDR-durapro-pc-pbt-TDS-de,Izod impact strength,Notch,Unnotched,Notched,p. 1: Izod-Kerbschlagzähigkeit ISO 180/A kJ/m²,p. 1: Izod-Kerbschlagzähigkeit ISO 180/A kJ/m²
V006286,D-FLASH-PLA-TDS-EN,Izod impact strength,Notch,Unnotched,Not published,p. 1: Izod Impact Strength (X-Y) ISO 180 KJ/m2,p. 1: Izod Impact Strength (X-Y) ISO 180 KJ/m2
V006385,R-BRASKEM-Braskem-3D-Printing-Data-Sheet-FL900PP-CF,Charpy strength,Notch,Unnotched,Not published,p. 1: Charpy Impact Strength at 23℃ ISO 179 kJ/m2,p. 1: Charpy Impact Strength at 23℃ ISO 179 kJ/m2
V006428,R-EXTRUDR-durapro-pc-fr-v0-TDS-de,Izod impact strength,Notch,Unnotched,Notched,p. 1: Izod-Kerbschlagzähigkeit (23 °C) ISO 180/A kJ/m²,p. 1: Izod-Kerbschlagzähigkeit (23 °C) ISO 180/A kJ/m²
V006429,R-EXTRUDR-durapro-pc-fr-v0-TDS-de,Izod impact strength,Notch,Unnotched,Notched,p. 1: Izod-Kerbschlagzähigkeit (-30 °C) ISO 180/A kJ/m²,p. 1: Izod-Kerbschlagzähigkeit (-30 °C) ISO 180/A kJ/m²
V006567,S-PEBA-PLA-Matte-TDS-2025-06-19-1,Izod impact strength,Notch,Unnotched,Not published,p. 2: IZOD Impact Strength (X-Y) GB/T 1843,p. 2: IZOD Impact Strength (X-Y) GB/T 1843
V006568,S-PEBA-PLA-Matte-TDS-2025-06-19-1,Izod impact strength,Notch,Unnotched,Not published,p. 2: IZOD Impact Strength (Z) GB/T 1843,p. 2: IZOD Impact Strength (Z) GB/T 1843
V006581,S-PEBA-ABS-GF-TDS-V1-2024-07-02,Izod impact strength,Notch,Unnotched,Not published,p. 1: IZOD Impact Strength GB/T 1843,p. 1: IZOD Impact Strength GB/T 1843
V006592,D-RAISE3D-Raise3D-Premium-ASA-TDS-v6-0,Charpy strength,Notch,Unnotched,Not published,"p. 1: Charpy impact strength(X-Y) ISO 179, GB/T 1043","p. 1: Charpy impact strength(X-Y) ISO 179, GB/T 1043"
V006593,D-RAISE3D-Raise3D-Premium-ASA-TDS-v6-0,Charpy strength,Notch,Unnotched,Not published,"p. 1: Charpy impact strength( Z ) ISO 179, GB/T 1043","p. 1: Charpy impact strength( Z ) ISO 179, GB/T 1043"
V006608,S-PEBA-PLA-CMYK-TDS-2024-06-30,Izod impact strength,Notch,Unnotched,Not published,p. 1: IZOD Impact Strength,p. 1: IZOD Impact Strength
V006625,D-RAISE3D-Raise3D-Industrial-PA12-CF-TDS-V3-0-0b3967,Charpy strength,Notch,Unnotched,Not published,"p. 2: Charpy impact strength (X-Y) ISO 179, GB/T 1043","p. 2: Charpy impact strength (X-Y) ISO 179, GB/T 1043"
V006631,S-PEBA-eABS-HS-TDS,Izod impact strength,Notch,Unnotched,Not published,p. 1: IZOD Impact Strength,p. 1: IZOD Impact Strength
V006638,S-PEBA-PLA-Matte-Dual-Filament-TDS-V4-0,Izod impact strength,Notch,Unnotched,Not published,p. 1: IZOD Impact Strength,p. 1: IZOD Impact Strength
