SourceID,Page,Value,Uncertainty,Unit,Line
S-SPECTRUM-en-tds-spectrum-pc-abs-fr-v0,1,960,,°C,1.5mm 960°C
S-SPECTRUM-en-tds-spectrum-pc-abs-fr-v0,1,960,,°C,3.0mm 960°C
S-SPECTRUM-en-tds-spectrum-pc-abs-fr-v0,1,750,,°C,1.5mm 750°C
S-SPECTRUM-en-tds-spectrum-pc-abs-fr-v0,1,725,,°C,3.0mm 725°C
S-POLYCN-Polymaker-PC-PBT-TDS-V5-1,2,20,,˚C,and toughness at low temperature ( - 20˚C/ - 30˚C). Polymaker™ PC - PBT also features
S-POLYCN-Polymaker-PC-PBT-TDS-V5-1,4,90,,˚C,release the residual internal stress. Annealing settings: 90˚C for 2h
I-PEEK-TDS,1,357343,,°C,Me lting Point  §  357343 ° C
I-PEEK-TDS,1,357143,,°C,Glass Tran sition Onse t  §  357143 ° C
I-PEI-9085-TDS,1,370,,°C,"technology , with a diameter of 1.75 mm, 370 ° C -390 ° C printin g"
I-PPSU-TDS,1,180,,ºC,"can be used under a high temperature of 180 º C , PPSU has an excellent hydrolysis"
I-PPSU-TDS,1,0.70,,%,Molding Shrinkage - Flow  §  0.70%
I-PPSU-TDS,1,399,,kJ/m,3.18 mm 399 kJ / m ^ 2
I-PPSU-TDS,2,1356220,,ºC,Glass Tr ansition Temperature ASTM E1356220 º C
R-BAMBU-SUPPORT-PLA-NEW-TDS,1,70,,°C,Spool Material ABS (Temperature resistance 70 °C)
R-ESSENTIUM-PPSCF-TDS,1,15,,%,Essentium PPS-CF is a 15% carbon fiber reinforced polyphenylene sulfide (PPS) filament made with LUVOCOM® 3F resin from
R-POLYMAKER-PANCHROMA-TDS-V2-1,1,63,,°C,Matte 63°C
R-POLYMAKER-PANCHROMA-TDS-V2-1,1,62,,°C,Satin 62°C
R-POLYMAKER-PANCHROMA-TDS-V2-1,1,64,,°C,Silk 64°C
R-POLYMAKER-PANCHROMA-TDS-V2-1,1,63,,°C,63°C
R-POLYMAKER-PANCHROMA-TDS-V2-1,1,55,,°C,Recommended drying setting 55 °C for 6h
R-FIBERON-PETGF15-TDS,1,422.8,,°C,"GA, 20°C/min T 422.8°C"
R-FIBERON-PETGF15-TDS,1,30,,%,*Model infill 30%
R-FILLAMENTUM-CPE-HG100-TDS,1,0,,%,"Haze < 1,0 %  § "
R-FILLAMENTUM-CPE-HG100-TDS,1,275,,°C,Print temperature 255 – 275 °C
