check,level,severity,materialId,material,gradeId,measurementIds,property,value,expected,sourceId,locator,detail
A14-direction-in-locator-not-coded,measurement,high,M069,PPA,G069-01,V001295,Elongation at break,1.6 %; direction coded unknown,direction Z,S-PPA-TDS,p. 1: Breaking Elongation Rate Z,"locator ""p. 1: Breaking Elongation Rate Z"" names the Z direction"
A14-direction-in-locator-not-coded,measurement,high,M069,PPA,G069-01,V001297,Flexural strength,62 MPa; direction coded unknown,direction Z,S-PPA-TDS,p. 1: Flexural Strength Z,"locator ""p. 1: Flexural Strength Z"" names the Z direction"
A14-direction-in-locator-not-coded,measurement,high,M069,PPA,G069-01,V001299,Flexural modulus,2.576 GPa; direction coded unknown,direction Z,S-PPA-TDS,p. 1: Flexural Modulus Z,"locator ""p. 1: Flexural Modulus Z"" names the Z direction"
A14-direction-in-locator-not-coded,measurement,high,M069,PPA,G069-01,V001301,Charpy strength,5.4 kJ/m²; direction coded unknown,direction Z,S-PPA-TDS,p. 1: Impact Strength Z,"locator ""p. 1: Impact Strength Z"" names the Z direction"
A14-direction-in-locator-not-coded,measurement,high,M071,PPA-GF,G071-01,V001328,Tensile strength (endpoint unspecified),52 MPa; direction coded unknown,direction Z,D-IPCON-PPA,p. 1: Tensile Strength Z,"locator ""p. 1: Tensile Strength Z"" names the Z direction"
A14-direction-in-locator-not-coded,measurement,high,M071,PPA-GF,G071-01,V001330,Tensile modulus,3.472 GPa; direction coded unknown,direction Z,D-IPCON-PPA,p. 1: Young's Modulus Z,"locator ""p. 1: Young's Modulus Z"" names the Z direction"
A14-direction-in-locator-not-coded,measurement,high,M071,PPA-GF,G071-01,V001332,Elongation at break,1 %; direction coded unknown,direction Z,D-IPCON-PPA,p. 1: Breaking Elongation Rate Z,"locator ""p. 1: Breaking Elongation Rate Z"" names the Z direction"
A14-direction-in-locator-not-coded,measurement,high,M071,PPA-GF,G071-01,V001334,Flexural strength,75 MPa; direction coded unknown,direction Z,D-IPCON-PPA,p. 1: Flexural Strength Z,"locator ""p. 1: Flexural Strength Z"" names the Z direction"
A14-direction-in-locator-not-coded,measurement,high,M071,PPA-GF,G071-01,V001336,Flexural modulus,3.246 GPa; direction coded unknown,direction Z,D-IPCON-PPA,p. 1: Flexural Modulus Z,"locator ""p. 1: Flexural Modulus Z"" names the Z direction"
A14-direction-in-locator-not-coded,measurement,high,M071,PPA-GF,G071-01,V001338,Charpy strength,4.8 kJ/m²; direction coded unknown,direction Z,D-IPCON-PPA,p. 1: Impact Strength Z,"locator ""p. 1: Impact Strength Z"" names the Z direction"
